#    L    TT             EE             BB             TE          
   278   0.476559E+04   0.560367E+01   0.280544E-01   0.102482E+03
   279   0.473603E+04   0.574828E+01   0.282231E-01   0.103529E+03
   280   0.470616E+04   0.589484E+01   0.283911E-01   0.104562E+03
   281   0.467615E+04   0.604341E+01   0.285585E-01   0.105557E+03
   282   0.464569E+04   0.619369E+01   0.287253E-01   0.106522E+03
   283   0.461508E+04   0.634591E+01   0.288914E-01   0.107456E+03
   284   0.458424E+04   0.650000E+01   0.290568E-01   0.108360E+03
   285   0.455318E+04   0.665595E+01   0.292216E-01   0.109234E+03
   286   0.452182E+04   0.681361E+01   0.293856E-01   0.110071E+03
   287   0.449024E+04   0.697298E+01   0.295490E-01   0.110884E+03
   288   0.445850E+04   0.713407E+01   0.297118E-01   0.111660E+03
   289   0.442655E+04   0.729679E+01   0.298738E-01   0.112406E+03
   290   0.439444E+04   0.746100E+01   0.300351E-01   0.113121E+03
   291   0.436218E+04   0.762744E+01   0.301957E-01   0.113791E+03
   292   0.432948E+04   0.779500E+01   0.303556E-01   0.114439E+03
   293   0.429692E+04   0.796330E+01   0.305148E-01   0.115041E+03
   294   0.426407E+04   0.813383E+01   0.306732E-01   0.115621E+03
   295   0.423129E+04   0.830510E+01   0.308309E-01   0.116155E+03
   296   0.419821E+04   0.847861E+01   0.309879E-01   0.116659E+03
   297   0.416506E+04   0.865211E+01   0.311441E-01   0.117133E+03
   298   0.413169E+04   0.882783E+01   0.312996E-01   0.117562E+03
   299   0.409832E+04   0.900505E+01   0.314544E-01   0.117953E+03
   300   0.406480E+04   0.918226E+01   0.316083E-01   0.118307E+03
   301   0.403120E+04   0.936095E+01   0.317616E-01   0.118630E+03
   302   0.399760E+04   0.954038E+01   0.319141E-01   0.118923E+03
   303   0.396394E+04   0.972129E+01   0.320658E-01   0.119170E+03
   304   0.393019E+04   0.990368E+01   0.322167E-01   0.119373E+03
   305   0.389645E+04   0.100861E+02   0.323669E-01   0.119546E+03
   306   0.386264E+04   0.102692E+02   0.325163E-01   0.119680E+03
   307   0.382883E+04   0.104530E+02   0.326650E-01   0.119770E+03
   308   0.379502E+04   0.106391E+02   0.328129E-01   0.119837E+03
   309   0.376128E+04   0.108244E+02   0.329600E-01   0.119852E+03
   310   0.372747E+04   0.110097E+02   0.331063E-01   0.119836E+03
   311   0.369374E+04   0.111972E+02   0.332519E-01   0.119775E+03
   312   0.366009E+04   0.113839E+02   0.333967E-01   0.119685E+03
   313   0.362644E+04   0.115713E+02   0.335407E-01   0.119549E+03
   314   0.359286E+04   0.117595E+02   0.336840E-01   0.119383E+03
   315   0.355936E+04   0.119469E+02   0.338265E-01   0.119172E+03
   316   0.352594E+04   0.121350E+02   0.339682E-01   0.118923E+03
   317   0.349260E+04   0.123224E+02   0.341092E-01   0.118637E+03
   318   0.345933E+04   0.125112E+02   0.342494E-01   0.118314E+03
   319   0.342621E+04   0.126992E+02   0.343889E-01   0.117953E+03
   320   0.339325E+04   0.128872E+02   0.345276E-01   0.117562E+03
   321   0.336037E+04   0.130759E+02   0.346656E-01   0.117126E+03
   322   0.332763E+04   0.132631E+02   0.348029E-01   0.116652E+03
   323   0.329505E+04   0.134503E+02   0.349394E-01   0.116141E+03
   324   0.326262E+04   0.136381E+02   0.350752E-01   0.115585E+03
   325   0.323042E+04   0.138230E+02   0.352103E-01   0.115007E+03
   326   0.319830E+04   0.140093E+02   0.353447E-01   0.114376E+03
   327   0.316640E+04   0.141948E+02   0.354785E-01   0.113715E+03
   328   0.313473E+04   0.143788E+02   0.356115E-01   0.113024E+03
   329   0.310322E+04   0.145627E+02   0.357439E-01   0.112289E+03
   330   0.307193E+04   0.147452E+02   0.358756E-01   0.111516E+03
   331   0.304094E+04   0.149268E+02   0.360067E-01   0.110713E+03
