#    L    TT             EE             TE             PP             TP          
   183   0.530308E+04   0.777842E+00  -0.331413E+02   0.307345E+07   0.288874E+04
   184   0.532454E+04   0.767715E+00  -0.322860E+02   0.305720E+07   0.286443E+04
   185   0.534554E+04   0.757970E+00  -0.314057E+02   0.304108E+07   0.284041E+04
   186   0.536570E+04   0.748466E+00  -0.304972E+02   0.302510E+07   0.281668E+04
   187   0.538571E+04   0.739346E+00  -0.295621E+02   0.300924E+07   0.279324E+04
   188   0.540517E+04   0.730594E+00  -0.286018E+02   0.299351E+07   0.277006E+04
   189   0.542403E+04   0.722248E+00  -0.276150E+02   0.297790E+07   0.274714E+04
   190   0.544272E+04   0.714362E+00  -0.266037E+02   0.296242E+07   0.272447E+04
   191   0.546051E+04   0.706958E+00  -0.255651E+02   0.294706E+07   0.270205E+04
   192   0.547791E+04   0.700059E+00  -0.245014E+02   0.293182E+07   0.267986E+04
   193   0.549470E+04   0.693710E+00  -0.234140E+02   0.291671E+07   0.265789E+04
   194   0.551111E+04   0.687943E+00  -0.223008E+02   0.290171E+07   0.263613E+04
   195   0.552691E+04   0.682793E+00  -0.211639E+02   0.288683E+07   0.261458E+04
   196   0.554210E+04   0.678300E+00  -0.200026E+02   0.287207E+07   0.259322E+04
   197   0.555683E+04   0.674508E+00  -0.188185E+02   0.285742E+07   0.257205E+04
   198   0.557103E+04   0.671440E+00  -0.176107E+02   0.284289E+07   0.255105E+04
   199   0.558469E+04   0.669135E+00  -0.163801E+02   0.282847E+07   0.253022E+04
   200   0.559782E+04   0.667622E+00  -0.151273E+02   0.281416E+07   0.250955E+04
   201   0.561034E+04   0.666962E+00  -0.138516E+02   0.279996E+07   0.248903E+04
   202   0.562233E+04   0.667162E+00  -0.125545E+02   0.278587E+07   0.246865E+04
   203   0.563371E+04   0.668283E+00  -0.112354E+02   0.277188E+07   0.244842E+04
   204   0.564441E+04   0.670348E+00  -0.989712E+01   0.275801E+07   0.242833E+04
   205   0.565458E+04   0.673401E+00  -0.853754E+01   0.274424E+07   0.240839E+04
   206   0.566406E+04   0.677481E+00  -0.715792E+01   0.273058E+07   0.238860E+04
   207   0.567301E+04   0.682610E+00  -0.575874E+01   0.271702E+07   0.236895E+04
   208   0.568120E+04   0.688842E+00  -0.434053E+01   0.270357E+07   0.234944E+04
   209   0.568878E+04   0.696198E+00  -0.290368E+01   0.269022E+07   0.233007E+04
   210   0.569576E+04   0.704732E+00  -0.144911E+01   0.267697E+07   0.231084E+04
   211   0.570212E+04   0.714474E+00   0.231133E-01   0.266382E+07   0.229176E+04
   212   0.570773E+04   0.725455E+00   0.151202E+01   0.265078E+07   0.227281E+04
   213   0.571281E+04   0.737719E+00   0.301765E+01   0.263783E+07   0.225401E+04
   214   0.571719E+04   0.751259E+00   0.453877E+01   0.262498E+07   0.223534E+04
   215   0.572097E+04   0.766270E+00   0.607462E+01   0.261223E+07   0.221681E+04
   216   0.572407E+04   0.782567E+00   0.762570E+01   0.259958E+07   0.219842E+04
   217   0.572663E+04   0.800305E+00   0.918998E+01   0.258702E+07   0.218017E+04
   218   0.572851E+04   0.819487E+00   0.107677E+02   0.257456E+07   0.216205E+04
   219   0.572977E+04   0.840111E+00   0.123597E+02   0.256219E+07   0.214407E+04
   220   0.573043E+04   0.862328E+00   0.139616E+02   0.254991E+07   0.212623E+04
   221   0.573047E+04   0.886064E+00   0.155756E+02   0.253773E+07   0.210852E+04
   222   0.572991E+04   0.911467E+00   0.172002E+02   0.252564E+07   0.209094E+04
