#    L    TT             EE             BB             TE             PP             TP             EP          
   123   0.345851E+04   0.104846E+01   0.000000E+00  -0.375650E+02   0.943359E-07   0.298127E-03  -0.780449E-06
   124   0.349306E+04   0.105626E+01   0.000000E+00  -0.380991E+02   0.937583E-07   0.294866E-03  -0.830990E-06
   125   0.352760E+04   0.106361E+01   0.000000E+00  -0.386217E+02   0.931851E-07   0.291669E-03  -0.876806E-06
   126   0.356220E+04   0.107059E+01   0.000000E+00  -0.391320E+02   0.926162E-07   0.288535E-03  -0.916906E-06
   127   0.359679E+04   0.107704E+01   0.000000E+00  -0.396290E+02   0.920516E-07   0.285466E-03  -0.950302E-06
   128   0.363137E+04   0.108310E+01   0.000000E+00  -0.401120E+02   0.914913E-07   0.282460E-03  -0.976004E-06
   129   0.366601E+04   0.108864E+01   0.000000E+00  -0.405802E+02   0.909354E-07   0.279518E-03  -0.993022E-06
   130   0.370064E+04   0.109364E+01   0.000000E+00  -0.410326E+02   0.903837E-07   0.276639E-03  -0.100037E-05
   131   0.373525E+04   0.109826E+01   0.000000E+00  -0.414708E+02   0.898364E-07   0.273823E-03  -0.997364E-06
   132   0.376992E+04   0.110235E+01   0.000000E+00  -0.418918E+02   0.892934E-07   0.271067E-03  -0.984571E-06
   133   0.380450E+04   0.110598E+01   0.000000E+00  -0.422978E+02   0.887547E-07   0.268370E-03  -0.962864E-06
   134   0.383907E+04   0.110915E+01   0.000000E+00  -0.426843E+02   0.882203E-07   0.265728E-03  -0.933115E-06
   135   0.387363E+04   0.111178E+01   0.000000E+00  -0.430545E+02   0.876900E-07   0.263140E-03  -0.896194E-06
   136   0.390803E+04   0.111389E+01   0.000000E+00  -0.434046E+02   0.871640E-07   0.260603E-03  -0.852975E-06
   137   0.394243E+04   0.111553E+01   0.000000E+00  -0.437368E+02   0.866421E-07   0.258114E-03  -0.804327E-06
   138   0.397674E+04   0.111664E+01   0.000000E+00  -0.440498E+02   0.861244E-07   0.255672E-03  -0.751123E-06
   139   0.401082E+04   0.111736E+01   0.000000E+00  -0.443428E+02   0.856107E-07   0.253272E-03  -0.694232E-06
   140   0.404497E+04   0.111748E+01   0.000000E+00  -0.446165E+02   0.851012E-07   0.250914E-03  -0.634526E-06
   141   0.407889E+04   0.111706E+01   0.000000E+00  -0.448688E+02   0.845956E-07   0.248594E-03  -0.572874E-06
   142   0.411281E+04   0.111618E+01   0.000000E+00  -0.451004E+02   0.840941E-07   0.246311E-03  -0.510147E-06
   143   0.414666E+04   0.111485E+01   0.000000E+00  -0.453114E+02   0.835966E-07   0.244061E-03  -0.447213E-06
   144   0.418028E+04   0.111297E+01   0.000000E+00  -0.455010E+02   0.831031E-07   0.241842E-03  -0.384942E-06
   145   0.421376E+04   0.111072E+01   0.000000E+00  -0.456686E+02   0.826135E-07   0.239653E-03  -0.324203E-06
   146   0.424731E+04   0.110785E+01   0.000000E+00  -0.458142E+02   0.821278E-07   0.237489E-03  -0.265866E-06
   147   0.428049E+04   0.110460E+01   0.000000E+00  -0.459362E+02   0.816460E-07   0.235350E-03  -0.210798E-06
   148   0.431353E+04   0.110081E+01   0.000000E+00  -0.460363E+02   0.811681E-07   0.233232E-03  -0.159868E-06
   149   0.434650E+04   0.109657E+01   0.000000E+00  -0.461129E+02   0.806940E-07   0.231133E-03  -0.113944E-06
   150   0.437919E+04   0.109193E+01   0.000000E+00  -0.461639E+02   0.802237E-07   0.229051E-03  -0.738942E-07
   151   0.441173E+04   0.108684E+01   0.000000E+00  -0.461923E+02   0.797572E-07   0.226983E-03  -0.403764E-07
   152   0.444398E+04   0.108121E+01   0.000000E+00  -0.461965E+02   0.792944E-07   0.224930E-03  -0.132073E-07
   153   0.447609E+04   0.107520E+01   0.000000E+00  -0.461744E+02   0.788354E-07   0.222891E-03   0.800650E-08
   154   0.450798E+04   0.106880E+01   0.000000E+00  -0.461281E+02   0.783801E-07   0.220868E-03   0.236580E-07
   155   0.453966E+04   0.106202E+01   0.000000E+00  -0.460568E+02   0.779284E-07   0.218860E-03   0.341402E-07
   156   0.457096E+04   0.105486E+01   0.000000E+00  -0.459607E+02   0.774804E-07   0.216868E-03   0.398460E-07
   157   0.460220E+04   0.104731E+01   0.000000E+00  -0.458382E+02   0.770361E-07   0.214893E-03   0.411681E-07
   158   0.463314E+04   0.103946E+01   0.000000E+00  -0.456899E+02   0.765953E-07   0.212934E-03   0.384991E-07
   159   0.466378E+04   0.103116E+01   0.000000E+00  -0.455160E+02   0.761582E-07   0.210991E-03   0.322315E-07
   160   0.469420E+04   0.102254E+01   0.000000E+00  -0.453149E+02   0.757245E-07   0.209067E-03   0.227578E-07
   161   0.472439E+04   0.101370E+01   0.000000E+00  -0.450880E+02   0.752945E-07   0.207159E-03   0.104702E-07
   162   0.475428E+04   0.100448E+01   0.000000E+00  -0.448354E+02   0.748679E-07   0.205270E-03  -0.423916E-08
   163   0.478402E+04   0.994949E+00   0.000000E+00  -0.445556E+02   0.744448E-07   0.203399E-03  -0.209781E-07
   164   0.481331E+04   0.985193E+00   0.000000E+00  -0.442500E+02   0.740252E-07   0.201547E-03  -0.393547E-07
   165   0.484245E+04   0.975135E+00   0.000000E+00  -0.439165E+02   0.736091E-07   0.199713E-03  -0.589770E-07
   166   0.487128E+04   0.964924E+00   0.000000E+00  -0.435564E+02   0.731963E-07   0.197899E-03  -0.794532E-07
   167   0.489988E+04   0.954337E+00   0.000000E+00  -0.431705E+02   0.727870E-07   0.196105E-03  -0.100392E-06
   168   0.492803E+04   0.943748E+00   0.000000E+00  -0.427566E+02   0.723810E-07   0.194330E-03  -0.121401E-06
   169   0.495587E+04   0.932858E+00   0.000000E+00  -0.423147E+02   0.719784E-07   0.192577E-03  -0.142089E-06
   170   0.498340E+04   0.921892E+00   0.000000E+00  -0.418462E+02   0.715791E-07   0.190843E-03  -0.162064E-06
   171   0.501047E+04   0.910851E+00   0.000000E+00  -0.413489E+02   0.711831E-07   0.189131E-03  -0.180936E-06
   172   0.503716E+04   0.899661E+00   0.000000E+00  -0.408242E+02   0.707904E-07   0.187441E-03  -0.198313E-06
   173   0.506339E+04   0.888322E+00   0.000000E+00  -0.402723E+02   0.704009E-07   0.185772E-03  -0.213803E-06
   174   0.508931E+04   0.877133E+00   0.000000E+00  -0.396929E+02   0.700147E-07   0.184125E-03  -0.227015E-06
   175   0.511483E+04   0.865796E+00   0.000000E+00  -0.390855E+02   0.696317E-07   0.182500E-03  -0.237559E-06
   176   0.513983E+04   0.854536E+00   0.000000E+00  -0.384499E+02   0.692519E-07   0.180899E-03  -0.245135E-06
   177   0.516443E+04   0.843279E+00   0.000000E+00  -0.377877E+02   0.688752E-07   0.179319E-03  -0.249805E-06
   178   0.518857E+04   0.832247E+00   0.000000E+00  -0.370974E+02   0.685017E-07   0.177762E-03  -0.251726E-06
   179   0.521225E+04   0.821146E+00   0.000000E+00  -0.363790E+02   0.681313E-07   0.176225E-03  -0.251051E-06
   180   0.523561E+04   0.810197E+00   0.000000E+00  -0.356340E+02   0.677639E-07   0.174709E-03  -0.247936E-06
   181   0.525844E+04   0.799401E+00   0.000000E+00  -0.348623E+02   0.673996E-07   0.173213E-03  -0.242535E-06
   182   0.528080E+04   0.788834E+00   0.000000E+00  -0.340625E+02   0.670382E-07   0.171737E-03  -0.235003E-06
   183   0.530263E+04   0.778422E+00   0.000000E+00  -0.332361E+02   0.666799E-07   0.170279E-03  -0.225495E-06
   184   0.532408E+04   0.768239E+00   0.000000E+00  -0.323823E+02   0.663245E-07   0.168840E-03  -0.214164E-06
   185   0.534506E+04   0.758435E+00   0.000000E+00  -0.315034E+02   0.659720E-07   0.167418E-03  -0.201167E-06
   186   0.536520E+04   0.748868E+00   0.000000E+00  -0.305964E+02   0.656224E-07   0.166014E-03  -0.186657E-06
   187   0.538519E+04   0.739681E+00   0.000000E+00  -0.296627E+02   0.652757E-07   0.164626E-03  -0.170789E-06
   188   0.540464E+04   0.730860E+00   0.000000E+00  -0.287039E+02   0.649318E-07   0.163254E-03  -0.153717E-06
   189   0.542347E+04   0.722442E+00   0.000000E+00  -0.277185E+02   0.645906E-07   0.161898E-03  -0.135597E-06
   190   0.544215E+04   0.714479E+00   0.000000E+00  -0.267087E+02   0.642523E-07   0.160557E-03  -0.116581E-06
   191   0.545992E+04   0.706994E+00   0.000000E+00  -0.256716E+02   0.639167E-07   0.159231E-03  -0.968249E-07
   192   0.547730E+04   0.700011E+00   0.000000E+00  -0.246093E+02   0.635838E-07   0.157918E-03  -0.764830E-07
   193   0.549408E+04   0.693575E+00   0.000000E+00  -0.235234E+02   0.632535E-07   0.156618E-03  -0.557094E-07
   194   0.551046E+04   0.687715E+00   0.000000E+00  -0.224116E+02   0.629259E-07   0.155331E-03  -0.346586E-07
   195   0.552624E+04   0.682469E+00   0.000000E+00  -0.212762E+02   0.626010E-07   0.154057E-03  -0.134848E-07
   196   0.554142E+04   0.677875E+00   0.000000E+00  -0.201164E+02   0.622786E-07   0.152794E-03   0.765770E-08
   197   0.555613E+04   0.673979E+00   0.000000E+00  -0.189337E+02   0.619587E-07   0.151542E-03   0.286147E-07
   198   0.557031E+04   0.670803E+00   0.000000E+00  -0.177274E+02   0.616414E-07   0.150300E-03   0.492318E-07
   199   0.558395E+04   0.668384E+00   0.000000E+00  -0.164981E+02   0.613266E-07   0.149069E-03   0.693550E-07
   200   0.559706E+04   0.666753E+00   0.000000E+00  -0.152468E+02   0.610143E-07   0.147846E-03   0.888300E-07
   201   0.560957E+04   0.665970E+00   0.000000E+00  -0.139725E+02   0.607044E-07   0.146633E-03   0.107532E-06
   202   0.562154E+04   0.666044E+00   0.000000E+00  -0.126769E+02   0.603970E-07   0.145429E-03   0.125453E-06
   203   0.563290E+04   0.667033E+00   0.000000E+00  -0.113591E+02   0.600919E-07   0.144233E-03   0.142614E-06
   204   0.564358E+04   0.668961E+00   0.000000E+00  -0.100222E+02   0.597892E-07   0.143046E-03   0.159037E-06
   205   0.565373E+04   0.671872E+00   0.000000E+00  -0.866404E+01   0.594888E-07   0.141867E-03   0.174744E-06
   206   0.566319E+04   0.675806E+00   0.000000E+00  -0.728580E+01   0.591908E-07   0.140698E-03   0.189755E-06
   207   0.567212E+04   0.680784E+00   0.000000E+00  -0.588797E+01   0.588952E-07   0.139537E-03   0.204092E-06
   208   0.568029E+04   0.686858E+00   0.000000E+00  -0.447110E+01   0.586018E-07   0.138384E-03   0.217776E-06
   209   0.568786E+04   0.694053E+00   0.000000E+00  -0.303558E+01   0.583107E-07   0.137240E-03   0.230829E-06
   210   0.569481E+04   0.702420E+00   0.000000E+00  -0.158232E+01   0.580219E-07   0.136104E-03   0.243271E-06
   211   0.570116E+04   0.711990E+00   0.000000E+00  -0.111404E+00   0.577352E-07   0.134977E-03   0.255125E-06
