#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
   120   0.335502E+04  -0.358765E+02   0.308236E-03  -0.358765E+02   0.102212E+01  -0.609887E-06   0.308236E-03  -0.609887E-06   0.960834E-07
   121   0.338936E+04  -0.364451E+02   0.304782E-03  -0.364451E+02   0.103126E+01  -0.668627E-06   0.304782E-03  -0.668627E-06   0.954929E-07
   122   0.342378E+04  -0.370031E+02   0.301392E-03  -0.370031E+02   0.103987E+01  -0.725626E-06   0.301392E-03  -0.725626E-06   0.949067E-07
   123   0.345826E+04  -0.375505E+02   0.298067E-03  -0.375505E+02   0.104803E+01  -0.779892E-06   0.298067E-03  -0.779892E-06   0.943247E-07
   124   0.349281E+04  -0.380841E+02   0.294806E-03  -0.380841E+02   0.105583E+01  -0.830436E-06   0.294806E-03  -0.830436E-06   0.937471E-07
   125   0.352735E+04  -0.386063E+02   0.291609E-03  -0.386063E+02   0.106317E+01  -0.876267E-06   0.291609E-03  -0.876267E-06   0.931738E-07
   126   0.356196E+04  -0.391160E+02   0.288476E-03  -0.391160E+02   0.107013E+01  -0.916394E-06   0.288476E-03  -0.916394E-06   0.926048E-07
   127   0.359656E+04  -0.396126E+02   0.285406E-03  -0.396126E+02   0.107657E+01  -0.949826E-06   0.285406E-03  -0.949826E-06   0.920400E-07
   128   0.363114E+04  -0.400951E+02   0.282400E-03  -0.400951E+02   0.108262E+01  -0.975574E-06   0.282400E-03  -0.975574E-06   0.914797E-07
   129   0.366579E+04  -0.405627E+02   0.279458E-03  -0.405627E+02   0.108815E+01  -0.992647E-06   0.279458E-03  -0.992647E-06   0.909236E-07
   130   0.370042E+04  -0.410147E+02   0.276579E-03  -0.410147E+02   0.109314E+01  -0.100005E-05   0.276579E-03  -0.100005E-05   0.903719E-07
   131   0.373504E+04  -0.414523E+02   0.273762E-03  -0.414523E+02   0.109775E+01  -0.997114E-06   0.273762E-03  -0.997114E-06   0.898244E-07
   132   0.376971E+04  -0.418727E+02   0.271007E-03  -0.418727E+02   0.110183E+01  -0.984388E-06   0.271007E-03  -0.984388E-06   0.892813E-07
   133   0.380430E+04  -0.422782E+02   0.268309E-03  -0.422782E+02   0.110544E+01  -0.962746E-06   0.268309E-03  -0.962746E-06   0.887425E-07
   134   0.383887E+04  -0.426642E+02   0.265668E-03  -0.426642E+02   0.110860E+01  -0.933058E-06   0.265668E-03  -0.933058E-06   0.882079E-07
   135   0.387344E+04  -0.430338E+02   0.263079E-03  -0.430338E+02   0.111123E+01  -0.896193E-06   0.263079E-03  -0.896193E-06   0.876776E-07
   136   0.390785E+04  -0.433833E+02   0.260542E-03  -0.433833E+02   0.111332E+01  -0.853021E-06   0.260542E-03  -0.853021E-06   0.871514E-07
   137   0.394224E+04  -0.437150E+02   0.258053E-03  -0.437150E+02   0.111495E+01  -0.804413E-06   0.258053E-03  -0.804413E-06   0.866294E-07
   138   0.397656E+04  -0.440274E+02   0.255610E-03  -0.440274E+02   0.111605E+01  -0.751238E-06   0.255610E-03  -0.751238E-06   0.861115E-07
   139   0.401065E+04  -0.443197E+02   0.253211E-03  -0.443197E+02   0.111677E+01  -0.694367E-06   0.253211E-03  -0.694367E-06   0.855978E-07
   140   0.404480E+04  -0.445928E+02   0.250852E-03  -0.445928E+02   0.111687E+01  -0.634669E-06   0.250852E-03  -0.634669E-06   0.850881E-07
   141   0.407873E+04  -0.448445E+02   0.248533E-03  -0.448445E+02   0.111645E+01  -0.573015E-06   0.248533E-03  -0.573015E-06   0.845825E-07
   142   0.411266E+04  -0.450755E+02   0.246249E-03  -0.450755E+02   0.111556E+01  -0.510274E-06   0.246249E-03  -0.510274E-06   0.840809E-07
