#    L    TT             EE             BB             TE          
   283   0.460840E+04   0.634822E+01   0.291000E-01   0.107296E+03
   284   0.457759E+04   0.650228E+01   0.292667E-01   0.108196E+03
   285   0.454655E+04   0.665820E+01   0.294328E-01   0.109065E+03
   286   0.451522E+04   0.681583E+01   0.295982E-01   0.109897E+03
   287   0.448367E+04   0.697516E+01   0.297629E-01   0.110707E+03
   288   0.445197E+04   0.713621E+01   0.299270E-01   0.111478E+03
   289   0.442004E+04   0.729889E+01   0.300903E-01   0.112220E+03
   290   0.438797E+04   0.746305E+01   0.302530E-01   0.112931E+03
   291   0.435574E+04   0.762944E+01   0.304149E-01   0.113597E+03
   292   0.432308E+04   0.779694E+01   0.305762E-01   0.114240E+03
   293   0.429056E+04   0.796518E+01   0.307367E-01   0.114838E+03
   294   0.425775E+04   0.813565E+01   0.308965E-01   0.115413E+03
   295   0.422501E+04   0.830685E+01   0.310555E-01   0.115943E+03
   296   0.419197E+04   0.848028E+01   0.312139E-01   0.116443E+03
   297   0.415886E+04   0.865370E+01   0.313715E-01   0.116912E+03
   298   0.412554E+04   0.882935E+01   0.315283E-01   0.117337E+03
   299   0.409221E+04   0.900647E+01   0.316844E-01   0.117723E+03
   300   0.405873E+04   0.918359E+01   0.318398E-01   0.118072E+03
   301   0.402519E+04   0.936219E+01   0.319944E-01   0.118391E+03
   302   0.399164E+04   0.954152E+01   0.321483E-01   0.118679E+03
   303   0.395802E+04   0.972233E+01   0.323014E-01   0.118923E+03
   304   0.392433E+04   0.990461E+01   0.324537E-01   0.119121E+03
   305   0.389065E+04   0.100869E+02   0.326053E-01   0.119289E+03
   306   0.385689E+04   0.102699E+02   0.327561E-01   0.119419E+03
   307   0.382313E+04   0.104536E+02   0.329062E-01   0.119505E+03
   308   0.378938E+04   0.106395E+02   0.330554E-01   0.119567E+03
   309   0.375570E+04   0.108247E+02   0.332040E-01   0.119577E+03
   310   0.372196E+04   0.110098E+02   0.333517E-01   0.119557E+03
   311   0.368829E+04   0.111972E+02   0.334987E-01   0.119492E+03
   312   0.365469E+04   0.113838E+02   0.336449E-01   0.119397E+03
   313   0.362111E+04   0.115711E+02   0.337904E-01   0.119257E+03
   314   0.358760E+04   0.117591E+02   0.339351E-01   0.119087E+03
   315   0.355416E+04   0.119463E+02   0.340790E-01   0.118871E+03
