#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.262318E+00   0.749537E+06   0.746151E+06   0.543497E+00  -0.272504E+00   0.000000E+00   0.749014E+06   0.749014E+06   0.749014E+06  -0.178027E-01   0.392686E+06   0.392646E+06   0.508785E-01
   0.267681E+00   0.727666E+06   0.724336E+06   0.506701E+00  -0.254056E+00   0.000000E+00   0.727151E+06   0.727151E+06   0.727151E+06  -0.172831E-01   0.381224E+06   0.381185E+06   0.490526E-01
   0.273044E+00   0.705549E+06   0.702222E+06   0.472177E+00  -0.236748E+00   0.000000E+00   0.705034E+06   0.705034E+06   0.705034E+06  -0.167574E-01   0.369629E+06   0.369590E+06   0.478287E-01
   0.278407E+00   0.683763E+06   0.680418E+06   0.440122E+00  -0.220678E+00   0.000000E+00   0.683246E+06   0.683246E+06   0.683246E+06  -0.162395E-01   0.358206E+06   0.358167E+06   0.468144E-01
   0.283771E+00   0.662894E+06   0.659540E+06   0.410700E+00  -0.205928E+00   0.000000E+00   0.662375E+06   0.662375E+06   0.662375E+06  -0.157435E-01   0.347264E+06   0.347225E+06   0.456794E-01
   0.289134E+00   0.643450E+06   0.640120E+06   0.383993E+00  -0.192538E+00   0.000000E+00   0.642935E+06   0.642935E+06   0.642935E+06  -0.152814E-01   0.337073E+06   0.337034E+06   0.442221E-01
   0.294497E+00   0.625735E+06   0.622472E+06   0.359942E+00  -0.180479E+00   0.000000E+00   0.625230E+06   0.625230E+06   0.625230E+06  -0.148606E-01   0.327791E+06   0.327753E+06   0.423894E-01
   0.299860E+00   0.609734E+06   0.606577E+06   0.338307E+00  -0.169630E+00   0.000000E+00   0.609246E+06   0.609246E+06   0.609246E+06  -0.144807E-01   0.319410E+06   0.319374E+06   0.402571E-01
   0.305223E+00   0.595153E+06   0.592128E+06   0.318720E+00  -0.159808E+00   0.000000E+00   0.594685E+06   0.594685E+06   0.594685E+06  -0.141346E-01   0.311776E+06   0.311742E+06   0.379841E-01
   0.310586E+00   0.581571E+06   0.578687E+06   0.300790E+00  -0.150817E+00   0.000000E+00   0.581125E+06   0.581125E+06   0.581125E+06  -0.138123E-01   0.304667E+06   0.304634E+06   0.357579E-01
   0.315949E+00   0.568568E+06   0.565815E+06   0.284173E+00  -0.142484E+00   0.000000E+00   0.568142E+06   0.568142E+06   0.568142E+06  -0.135037E-01   0.297860E+06   0.297829E+06   0.337411E-01
   0.321312E+00   0.555780E+06   0.553135E+06   0.268590E+00  -0.134670E+00   0.000000E+00   0.555370E+06   0.555370E+06   0.555370E+06  -0.132002E-01   0.291165E+06   0.291134E+06   0.320347E-01
   0.326675E+00   0.542960E+06   0.540394E+06   0.253851E+00  -0.127280E+00   0.000000E+00   0.542563E+06   0.542563E+06   0.542563E+06  -0.128957E-01   0.284450E+06   0.284420E+06   0.306643E-01
   0.332038E+00   0.530040E+06   0.527526E+06   0.239869E+00  -0.120270E+00   0.000000E+00   0.529651E+06   0.529651E+06   0.529651E+06  -0.125889E-01   0.277681E+06   0.277651E+06   0.295879E-01
   0.337401E+00   0.517127E+06   0.514643E+06   0.226642E+00  -0.113638E+00   0.000000E+00   0.516743E+06   0.516743E+06   0.516743E+06  -0.122820E-01   0.270913E+06   0.270884E+06   0.287182E-01
   0.342764E+00   0.504422E+06   0.501958E+06   0.214207E+00  -0.107403E+00   0.000000E+00   0.504041E+06   0.504041E+06   0.504041E+06  -0.119801E-01   0.264254E+06   0.264225E+06   0.279500E-01
   0.348127E+00   0.492137E+06   0.489694E+06   0.202597E+00  -0.101583E+00   0.000000E+00   0.491759E+06   0.491759E+06   0.491759E+06  -0.116882E-01   0.257815E+06   0.257787E+06   0.271882E-01
   0.353491E+00   0.480445E+06   0.478031E+06   0.191826E+00  -0.961824E-01   0.000000E+00   0.480071E+06   0.480071E+06   0.480071E+06  -0.114104E-01   0.251688E+06   0.251660E+06   0.263675E-01
   0.358854E+00   0.469453E+06   0.467082E+06   0.181875E+00  -0.911934E-01   0.000000E+00   0.469086E+06   0.469086E+06   0.469086E+06  -0.111493E-01   0.245929E+06   0.245901E+06   0.254622E-01
   0.364217E+00   0.459175E+06   0.456860E+06   0.172694E+00  -0.865896E-01   0.000000E+00   0.458817E+06   0.458817E+06   0.458817E+06  -0.109053E-01   0.240545E+06   0.240518E+06   0.244836E-01
   0.369580E+00   0.449533E+06   0.447283E+06   0.164197E+00  -0.823291E-01   0.000000E+00   0.449184E+06   0.449184E+06   0.449184E+06  -0.106763E-01   0.235495E+06   0.235469E+06   0.234687E-01
   0.374943E+00   0.440388E+06   0.438207E+06   0.156290E+00  -0.783641E-01   0.000000E+00   0.440051E+06   0.440051E+06   0.440051E+06  -0.104592E-01   0.230706E+06   0.230681E+06   0.224667E-01
   0.380306E+00   0.431597E+06   0.429483E+06   0.148882E+00  -0.746494E-01   0.000000E+00   0.431270E+06   0.431270E+06   0.431270E+06  -0.102505E-01   0.226102E+06   0.226078E+06   0.215241E-01
   0.385669E+00   0.423031E+06   0.420977E+06   0.141898E+00  -0.711475E-01   0.000000E+00   0.422713E+06   0.422713E+06   0.422713E+06  -0.100471E-01   0.221616E+06   0.221592E+06   0.206737E-01
   0.391032E+00   0.414591E+06   0.412587E+06   0.135279E+00  -0.678286E-01   0.000000E+00   0.414281E+06   0.414281E+06   0.414281E+06  -0.984671E-02   0.217196E+06   0.217172E+06   0.199283E-01
   0.396395E+00   0.406225E+06   0.404261E+06   0.128987E+00  -0.646738E-01   0.000000E+00   0.405922E+06   0.405922E+06   0.405922E+06  -0.964803E-02   0.212813E+06   0.212790E+06   0.192813E-01
   0.401758E+00   0.397947E+06   0.396015E+06   0.123007E+00  -0.616755E-01   0.000000E+00   0.397648E+06   0.397648E+06   0.397648E+06  -0.945138E-02   0.208476E+06   0.208453E+06   0.187116E-01
   0.407121E+00   0.389819E+06   0.387914E+06   0.117340E+00  -0.588344E-01   0.000000E+00   0.389525E+06   0.389525E+06   0.389525E+06  -0.925830E-02   0.204217E+06   0.204194E+06   0.181910E-01
   0.412484E+00   0.381915E+06   0.380035E+06   0.111990E+00  -0.561520E-01   0.000000E+00   0.381624E+06   0.381624E+06   0.381624E+06  -0.907053E-02   0.200075E+06   0.200053E+06   0.176917E-01
   0.417848E+00   0.374286E+06   0.372432E+06   0.106953E+00  -0.536265E-01   0.000000E+00   0.373999E+06   0.373999E+06   0.373999E+06  -0.888929E-02   0.196077E+06   0.196056E+06   0.171920E-01
   0.423211E+00   0.366963E+06   0.365139E+06   0.102219E+00  -0.512530E-01   0.000000E+00   0.366680E+06   0.366680E+06   0.366680E+06  -0.871534E-02   0.192240E+06   0.192219E+06   0.166805E-01
   0.428574E+00   0.359963E+06   0.358173E+06   0.977754E-01  -0.490250E-01   0.000000E+00   0.359686E+06   0.359686E+06   0.359686E+06  -0.854909E-02   0.188573E+06   0.188552E+06   0.161563E-01
   0.433937E+00   0.353280E+06   0.351528E+06   0.936031E-01  -0.469329E-01   0.000000E+00   0.353009E+06   0.353009E+06   0.353009E+06  -0.839039E-02   0.185072E+06   0.185052E+06   0.156273E-01
   0.439300E+00   0.346870E+06   0.345157E+06   0.896748E-01  -0.449632E-01   0.000000E+00   0.346605E+06   0.346605E+06   0.346605E+06  -0.823818E-02   0.181715E+06   0.181695E+06   0.151055E-01
   0.444663E+00   0.340672E+06   0.338997E+06   0.859611E-01  -0.431011E-01   0.000000E+00   0.340413E+06   0.340413E+06   0.340413E+06  -0.809100E-02   0.178469E+06   0.178449E+06   0.146038E-01
   0.450026E+00   0.334636E+06   0.332998E+06   0.824380E-01  -0.413345E-01   0.000000E+00   0.334383E+06   0.334383E+06   0.334383E+06  -0.794768E-02   0.175307E+06   0.175288E+06   0.141325E-01
   0.455389E+00   0.328736E+06   0.327131E+06   0.790884E-01  -0.396550E-01   0.000000E+00   0.328488E+06   0.328488E+06   0.328488E+06  -0.780757E-02   0.172217E+06   0.172198E+06   0.136971E-01
   0.460752E+00   0.322950E+06   0.321375E+06   0.758982E-01  -0.380554E-01   0.000000E+00   0.322706E+06   0.322706E+06   0.322706E+06  -0.767016E-02   0.169186E+06   0.169167E+06   0.132977E-01
   0.466115E+00   0.317263E+06   0.315714E+06   0.728557E-01  -0.365299E-01   0.000000E+00   0.317024E+06   0.317024E+06   0.317024E+06  -0.753508E-02   0.166206E+06   0.166188E+06   0.129294E-01
   0.471478E+00   0.311680E+06   0.310154E+06   0.699543E-01  -0.350752E-01   0.000000E+00   0.311444E+06   0.311444E+06   0.311444E+06  -0.740246E-02   0.163281E+06   0.163263E+06   0.125847E-01
   0.476841E+00   0.306226E+06   0.304722E+06   0.671927E-01  -0.336906E-01   0.000000E+00   0.305994E+06   0.305994E+06   0.305994E+06  -0.727292E-02   0.160424E+06   0.160406E+06   0.122557E-01
