#    L    TT             EE             TE             PP             TP          
   209   0.591453E+04   0.726972E+00  -0.311429E+01   0.271114E+07   0.232682E+04
   210   0.592180E+04   0.735891E+00  -0.160375E+01   0.269787E+07   0.230789E+04
   211   0.592844E+04   0.746066E+00  -0.748618E-01   0.268470E+07   0.228910E+04
   212   0.593430E+04   0.757529E+00   0.147139E+01   0.267164E+07   0.227046E+04
   213   0.593960E+04   0.770327E+00   0.303502E+01   0.265867E+07   0.225195E+04
   214   0.594419E+04   0.784454E+00   0.461476E+01   0.264580E+07   0.223358E+04
   215   0.594816E+04   0.800106E+00   0.620983E+01   0.263303E+07   0.221534E+04
   216   0.595142E+04   0.817099E+00   0.782072E+01   0.262036E+07   0.219725E+04
   217   0.595412E+04   0.835591E+00   0.944537E+01   0.260778E+07   0.217929E+04
   218   0.595611E+04   0.855584E+00   0.110840E+02   0.259530E+07   0.216146E+04
   219   0.595747E+04   0.877081E+00   0.127374E+02   0.258291E+07   0.214377E+04
   220   0.595821E+04   0.900232E+00   0.144012E+02   0.257061E+07   0.212621E+04
   221   0.595831E+04   0.924965E+00   0.160776E+02   0.255841E+07   0.210878E+04
   222   0.595777E+04   0.951430E+00   0.177649E+02   0.254630E+07   0.209149E+04
   223   0.595646E+04   0.979556E+00   0.194640E+02   0.253428E+07   0.207433E+04
   224   0.595467E+04   0.100934E+01   0.211711E+02   0.252235E+07   0.205729E+04
   225   0.595216E+04   0.104095E+01   0.228890E+02   0.251050E+07   0.204038E+04
   226   0.594903E+04   0.107436E+01   0.246141E+02   0.249875E+07   0.202361E+04
   227   0.594519E+04   0.110960E+01   0.263477E+02   0.248708E+07   0.200695E+04
   228   0.594080E+04   0.114665E+01   0.280884E+02   0.247550E+07   0.199043E+04
   229   0.593577E+04   0.118560E+01   0.298346E+02   0.246400E+07   0.197403E+04
   230   0.593003E+04   0.122645E+01   0.315870E+02   0.245259E+07   0.195775E+04
   231   0.592360E+04   0.126928E+01   0.333448E+02   0.244126E+07   0.194160E+04
   232   0.591660E+04   0.131400E+01   0.351065E+02   0.243002E+07   0.192557E+04
   233   0.590897E+04   0.136085E+01   0.368706E+02   0.241886E+07   0.190966E+04
   234   0.590056E+04   0.140969E+01   0.386378E+02   0.240778E+07   0.189387E+04
   235   0.589159E+04   0.146058E+01   0.404064E+02   0.239677E+07   0.187820E+04
   236   0.588192E+04   0.151353E+01   0.421766E+02   0.238585E+07   0.186265E+04
   237   0.587162E+04   0.156862E+01   0.439467E+02   0.237501E+07   0.184721E+04
   238   0.586068E+04   0.162591E+01   0.457168E+02   0.236424E+07   0.183190E+04
   239   0.584919E+04   0.168528E+01   0.474860E+02   0.235355E+07   0.181670E+04
   240   0.583692E+04   0.174679E+01   0.492520E+02   0.234294E+07   0.180161E+04
   241   0.582416E+04   0.181059E+01   0.510157E+02   0.233240E+07   0.178664E+04
   242   0.581077E+04   0.187653E+01   0.527760E+02   0.232194E+07   0.177178E+04
   243   0.579675E+04   0.194477E+01   0.545317E+02   0.231155E+07   0.175703E+04
   244   0.578210E+04   0.201524E+01   0.562832E+02   0.230123E+07   0.174240E+04
   245   0.576682E+04   0.208801E+01   0.580277E+02   0.229098E+07   0.172788E+04
   246   0.575098E+04   0.216309E+01   0.597666E+02   0.228081E+07   0.171346E+04
   247   0.573458E+04   0.224039E+01   0.614976E+02   0.227070E+07   0.169916E+04
   248   0.571755E+04   0.232030E+01   0.632206E+02   0.226066E+07   0.168496E+04
   249   0.570004E+04   0.240230E+01   0.649349E+02   0.225069E+07   0.167087E+04
   250   0.568190E+04   0.248683E+01   0.666389E+02   0.224079E+07   0.165689E+04
   251   0.566327E+04   0.257360E+01   0.683334E+02   0.223096E+07   0.164301E+04
