#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
   114   0.326478E+04  -0.334268E+02   0.323525E-03  -0.334268E+02   0.997370E+00  -0.460278E-06   0.323525E-03  -0.460278E-06   0.100075E-06
   115   0.329974E+04  -0.340698E+02   0.319941E-03  -0.340698E+02   0.100910E+01  -0.470523E-06   0.319941E-03  -0.470523E-06   0.994593E-07
   116   0.333472E+04  -0.347054E+02   0.316414E-03  -0.347054E+02   0.102038E+01  -0.483647E-06   0.316414E-03  -0.483647E-06   0.988480E-07
   117   0.337001E+04  -0.353329E+02   0.312945E-03  -0.353329E+02   0.103128E+01  -0.499214E-06   0.312945E-03  -0.499214E-06   0.982411E-07
   118   0.340546E+04  -0.359529E+02   0.309532E-03  -0.359529E+02   0.104195E+01  -0.516790E-06   0.309532E-03  -0.516790E-06   0.976384E-07
   119   0.344093E+04  -0.365630E+02   0.306176E-03  -0.365630E+02   0.105225E+01  -0.535939E-06   0.306176E-03  -0.535939E-06   0.970400E-07
   120   0.347656E+04  -0.371632E+02   0.302875E-03  -0.371632E+02   0.106201E+01  -0.556225E-06   0.302875E-03  -0.556225E-06   0.964458E-07
   121   0.351220E+04  -0.377533E+02   0.299630E-03  -0.377533E+02   0.107153E+01  -0.577213E-06   0.299630E-03  -0.577213E-06   0.958559E-07
   122   0.354792E+04  -0.383325E+02   0.296440E-03  -0.383325E+02   0.108052E+01  -0.598467E-06   0.296440E-03  -0.598467E-06   0.952703E-07
   123   0.358373E+04  -0.389007E+02   0.293305E-03  -0.389007E+02   0.108904E+01  -0.619553E-06   0.293305E-03  -0.619553E-06   0.946890E-07
   124   0.361962E+04  -0.394549E+02   0.290224E-03  -0.394549E+02   0.109718E+01  -0.640035E-06   0.290224E-03  -0.640035E-06   0.941120E-07
   125   0.365551E+04  -0.399971E+02   0.287197E-03  -0.399971E+02   0.110484E+01  -0.659477E-06   0.287197E-03  -0.659477E-06   0.935392E-07
   126   0.369149E+04  -0.405266E+02   0.284224E-03  -0.405266E+02   0.111212E+01  -0.677444E-06   0.284224E-03  -0.677444E-06   0.929708E-07
   127   0.372748E+04  -0.410425E+02   0.281303E-03  -0.410425E+02   0.111884E+01  -0.693500E-06   0.281303E-03  -0.693500E-06   0.924066E-07
   128   0.376347E+04  -0.415439E+02   0.278436E-03  -0.415439E+02   0.112517E+01  -0.707211E-06   0.278436E-03  -0.707211E-06   0.918468E-07
   129   0.379954E+04  -0.420301E+02   0.275621E-03  -0.420301E+02   0.113095E+01  -0.718140E-06   0.275621E-03  -0.718140E-06   0.912913E-07
   130   0.383561E+04  -0.425001E+02   0.272858E-03  -0.425001E+02   0.113618E+01  -0.725852E-06   0.272858E-03  -0.725852E-06   0.907401E-07
   131   0.387169E+04  -0.429555E+02   0.270146E-03  -0.429555E+02   0.114100E+01  -0.730030E-06   0.270146E-03  -0.730030E-06   0.901932E-07
   132   0.390784E+04  -0.433931E+02   0.267484E-03  -0.433931E+02   0.114527E+01  -0.730830E-06   0.267484E-03  -0.730830E-06   0.896505E-07
   133   0.394392E+04  -0.438153E+02   0.264871E-03  -0.438153E+02   0.114906E+01  -0.728522E-06   0.264871E-03  -0.728522E-06   0.891122E-07
   134   0.398000E+04  -0.442175E+02   0.262304E-03  -0.442175E+02   0.115237E+01  -0.723382E-06   0.262304E-03  -0.723382E-06   0.885781E-07
   135   0.401609E+04  -0.446028E+02   0.259782E-03  -0.446028E+02   0.115513E+01  -0.715681E-06   0.259782E-03  -0.715681E-06   0.880482E-07
   136   0.405203E+04  -0.449675E+02   0.257304E-03  -0.449675E+02   0.115733E+01  -0.705693E-06   0.257304E-03  -0.705693E-06   0.875224E-07
   137   0.408797E+04  -0.453138E+02   0.254867E-03  -0.453138E+02   0.115906E+01  -0.693691E-06   0.254867E-03  -0.693691E-06   0.870009E-07
   138   0.412384E+04  -0.456402E+02   0.252470E-03  -0.456402E+02   0.116023E+01  -0.679948E-06   0.252470E-03  -0.679948E-06   0.864834E-07
   139   0.415949E+04  -0.459459E+02   0.250112E-03  -0.459459E+02   0.116100E+01  -0.664735E-06   0.250112E-03  -0.664735E-06   0.859700E-07
   140   0.419521E+04  -0.462318E+02   0.247790E-03  -0.462318E+02   0.116114E+01  -0.648328E-06   0.247790E-03  -0.648328E-06   0.854607E-07
   141   0.423072E+04  -0.464955E+02   0.245503E-03  -0.464955E+02   0.116073E+01  -0.630998E-06   0.245503E-03  -0.630998E-06   0.849554E-07
   142   0.426623E+04  -0.467379E+02   0.243250E-03  -0.467379E+02   0.115984E+01  -0.613019E-06   0.243250E-03  -0.613019E-06   0.844542E-07
   143   0.430166E+04  -0.469589E+02   0.241029E-03  -0.469589E+02   0.115847E+01  -0.594663E-06   0.241029E-03  -0.594663E-06   0.839569E-07
   144   0.433688E+04  -0.471579E+02   0.238837E-03  -0.471579E+02   0.115655E+01  -0.576203E-06   0.238837E-03  -0.576203E-06   0.834635E-07
   145   0.437195E+04  -0.473340E+02   0.236675E-03  -0.473340E+02   0.115422E+01  -0.557913E-06   0.236675E-03  -0.557913E-06   0.829741E-07
   146   0.440709E+04  -0.474873E+02   0.234538E-03  -0.474873E+02   0.115127E+01  -0.540065E-06   0.234538E-03  -0.540065E-06   0.824886E-07
   147   0.444187E+04  -0.476163E+02   0.232427E-03  -0.476163E+02   0.114791E+01  -0.522933E-06   0.232427E-03  -0.522933E-06   0.820069E-07
   148   0.447650E+04  -0.477225E+02   0.230340E-03  -0.477225E+02   0.114400E+01  -0.506789E-06   0.230340E-03  -0.506789E-06   0.815291E-07
   149   0.451106E+04  -0.478043E+02   0.228274E-03  -0.478043E+02   0.113961E+01  -0.491906E-06   0.228274E-03  -0.491906E-06   0.810551E-07
   150   0.454532E+04  -0.478597E+02   0.226229E-03  -0.478597E+02   0.113482E+01  -0.478558E-06   0.226229E-03  -0.478558E-06   0.805848E-07
   151   0.457944E+04  -0.478915E+02   0.224202E-03  -0.478915E+02   0.112955E+01  -0.466952E-06   0.224202E-03  -0.466952E-06   0.801184E-07
   152   0.461326E+04  -0.478983E+02   0.222194E-03  -0.478983E+02   0.112373E+01  -0.457040E-06   0.222194E-03  -0.457040E-06   0.796556E-07
