#    L    TT             EE             BB             TE             PP             TP             EP          
   219   0.596804E+04   0.876176E+00   0.000000E+00   0.126579E+02   0.555437E-07   0.125700E-03   0.752613E-07
   220   0.596883E+04   0.899208E+00   0.000000E+00   0.143238E+02   0.552755E-07   0.124666E-03   0.863816E-07
   221   0.596900E+04   0.923820E+00   0.000000E+00   0.160023E+02   0.550094E-07   0.123640E-03   0.974160E-07
   222   0.596853E+04   0.950163E+00   0.000000E+00   0.176920E+02   0.547453E-07   0.122621E-03   0.108369E-06
   223   0.596727E+04   0.978165E+00   0.000000E+00   0.193934E+02   0.544831E-07   0.121610E-03   0.119247E-06
   224   0.596554E+04   0.100783E+01   0.000000E+00   0.211029E+02   0.542230E-07   0.120607E-03   0.130053E-06
   225   0.596310E+04   0.103930E+01   0.000000E+00   0.228234E+02   0.539649E-07   0.119612E-03   0.140794E-06
   226   0.596002E+04   0.107259E+01   0.000000E+00   0.245511E+02   0.537086E-07   0.118624E-03   0.151474E-06
   227   0.595624E+04   0.110770E+01   0.000000E+00   0.262875E+02   0.534543E-07   0.117643E-03   0.162097E-06
   228   0.595190E+04   0.114462E+01   0.000000E+00   0.280310E+02   0.532020E-07   0.116671E-03   0.172670E-06
   229   0.594692E+04   0.118344E+01   0.000000E+00   0.297801E+02   0.529515E-07   0.115705E-03   0.183197E-06
