#    L    TT             EE             BB             TE          
   250   0.568386E+04   0.252661E+01   0.240420E-01   0.664582E+02
   251   0.566521E+04   0.261342E+01   0.242294E-01   0.681443E+02
   252   0.564587E+04   0.270268E+01   0.244166E-01   0.698193E+02
   253   0.562619E+04   0.279415E+01   0.246036E-01   0.714817E+02
   254   0.560589E+04   0.288813E+01   0.247905E-01   0.731314E+02
   255   0.558503E+04   0.298433E+01   0.249770E-01   0.747683E+02
   256   0.556370E+04   0.308311E+01   0.251633E-01   0.763925E+02
   257   0.554189E+04   0.318403E+01   0.253494E-01   0.779957E+02
   258   0.551953E+04   0.328745E+01   0.255351E-01   0.795906E+02
   259   0.549669E+04   0.339322E+01   0.257205E-01   0.811622E+02
   260   0.547346E+04   0.350135E+01   0.259056E-01   0.827254E+02
   261   0.544968E+04   0.361176E+01   0.260903E-01   0.842578E+02
   262   0.542535E+04   0.372467E+01   0.262747E-01   0.857817E+02
   263   0.540085E+04   0.383984E+01   0.264586E-01   0.872897E+02
   264   0.537572E+04   0.395737E+01   0.266421E-01   0.887742E+02
   265   0.535005E+04   0.407716E+01   0.268252E-01   0.902278E+02
   266   0.532406E+04   0.419945E+01   0.270078E-01   0.916728E+02
   267   0.529752E+04   0.432385E+01   0.271899E-01   0.930869E+02
   268   0.527059E+04   0.445074E+01   0.273716E-01   0.944848E+02
   269   0.524312E+04   0.457982E+01   0.275527E-01   0.958592E+02
   270   0.521540E+04   0.471116E+01   0.277333E-01   0.972099E+02
   271   0.518721E+04   0.484469E+01   0.279134E-01   0.985369E+02
   272   0.515878E+04   0.498069E+01   0.280929E-01   0.998329E+02
   273   0.512989E+04   0.511858E+01   0.282718E-01   0.101113E+03
   274   0.510067E+04   0.525895E+01   0.284502E-01   0.102354E+03
   275   0.507107E+04   0.540127E+01   0.286279E-01   0.103578E+03
   276   0.504123E+04   0.554577E+01   0.288051E-01   0.104764E+03
   277   0.501092E+04   0.569245E+01   0.289816E-01   0.105934E+03
   278   0.498037E+04   0.584122E+01   0.291575E-01   0.107065E+03
   279   0.494950E+04   0.599202E+01   0.293328E-01   0.108164E+03
   280   0.491833E+04   0.614484E+01   0.295074E-01   0.109248E+03
   281   0.488699E+04   0.629975E+01   0.296813E-01   0.110292E+03
   282   0.485518E+04   0.645646E+01   0.298546E-01   0.111305E+03
   283   0.482322E+04   0.661519E+01   0.300272E-01   0.112286E+03
   284   0.479102E+04   0.677585E+01   0.301990E-01   0.113236E+03
   285   0.475858E+04   0.693846E+01   0.303702E-01   0.114154E+03
   286   0.472583E+04   0.710285E+01   0.305407E-01   0.115034E+03
   287   0.469285E+04   0.726904E+01   0.307105E-01   0.115889E+03
   288   0.465971E+04   0.743700E+01   0.308795E-01   0.116705E+03
   289   0.462633E+04   0.760669E+01   0.310478E-01   0.117490E+03
   290   0.459279E+04   0.777793E+01   0.312153E-01   0.118243E+03
   291   0.455910E+04   0.795147E+01   0.313822E-01   0.118949E+03
   292   0.452494E+04   0.812620E+01   0.315482E-01   0.119631E+03
   293   0.449093E+04   0.830174E+01   0.317135E-01   0.120266E+03
   294   0.445662E+04   0.847958E+01   0.318781E-01   0.120878E+03
   295   0.442237E+04   0.865824E+01   0.320418E-01   0.121442E+03
   296   0.438781E+04   0.883919E+01   0.322048E-01   0.121975E+03
   297   0.435318E+04   0.902020E+01   0.323670E-01   0.122475E+03
