#    L    TT             EE             BB             TE             PP             TP             EP          
   220   0.571105E+04   0.862304E+00   0.000000E+00   0.137761E+02   0.555781E-07   0.125070E-03   0.338570E-06
   221   0.571113E+04   0.885990E+00   0.000000E+00   0.153824E+02   0.553118E-07   0.124023E-03   0.345746E-06
   222   0.571061E+04   0.911341E+00   0.000000E+00   0.169993E+02   0.550476E-07   0.122983E-03   0.352575E-06
   223   0.570933E+04   0.938284E+00   0.000000E+00   0.186275E+02   0.547854E-07   0.121952E-03   0.359079E-06
   224   0.570759E+04   0.966820E+00   0.000000E+00   0.202633E+02   0.545251E-07   0.120928E-03   0.365276E-06
   225   0.570518E+04   0.997096E+00   0.000000E+00   0.219096E+02   0.542668E-07   0.119913E-03   0.371189E-06
   226   0.570216E+04   0.102912E+01   0.000000E+00   0.235628E+02   0.540105E-07   0.118905E-03   0.376838E-06
   227   0.569846E+04   0.106288E+01   0.000000E+00   0.252243E+02   0.537560E-07   0.117905E-03   0.382245E-06
   228   0.569423E+04   0.109838E+01   0.000000E+00   0.268926E+02   0.535035E-07   0.116913E-03   0.387429E-06
   229   0.568939E+04   0.113571E+01   0.000000E+00   0.285662E+02   0.532529E-07   0.115928E-03   0.392411E-06
   230   0.568387E+04   0.117485E+01   0.000000E+00   0.302458E+02   0.530041E-07   0.114952E-03   0.397213E-06
