#    L    TT             EE             BB             TE             PP             TP             EP          
   158   0.461308E+04   0.103590E+01   0.000000E+00  -0.454336E+02   0.769718E-07   0.212849E-03   0.418421E-07
   159   0.464385E+04   0.102765E+01   0.000000E+00  -0.452627E+02   0.765342E-07   0.210916E-03   0.363235E-07
   160   0.467440E+04   0.101910E+01   0.000000E+00  -0.450647E+02   0.761001E-07   0.209000E-03   0.274989E-07
   161   0.470472E+04   0.101032E+01   0.000000E+00  -0.448409E+02   0.756695E-07   0.207101E-03   0.157664E-07
   162   0.473474E+04   0.100116E+01   0.000000E+00  -0.445915E+02   0.752424E-07   0.205219E-03   0.152379E-08
   163   0.476461E+04   0.991705E+00   0.000000E+00  -0.443150E+02   0.748188E-07   0.203355E-03  -0.148312E-07
   164   0.479402E+04   0.982022E+00   0.000000E+00  -0.440127E+02   0.743986E-07   0.201509E-03  -0.329010E-07
   165   0.482327E+04   0.972039E+00   0.000000E+00  -0.436824E+02   0.739819E-07   0.199682E-03  -0.522881E-07
   166   0.485221E+04   0.961905E+00   0.000000E+00  -0.433257E+02   0.735686E-07   0.197874E-03  -0.725948E-07
   167   0.488092E+04   0.951399E+00   0.000000E+00  -0.429433E+02   0.731586E-07   0.196084E-03  -0.934240E-07
   168   0.490917E+04   0.940893E+00   0.000000E+00  -0.425328E+02   0.727521E-07   0.194315E-03  -0.114378E-06
   169   0.493711E+04   0.930089E+00   0.000000E+00  -0.420943E+02   0.723488E-07   0.192565E-03  -0.135060E-06
   170   0.496473E+04   0.919213E+00   0.000000E+00  -0.416294E+02   0.719489E-07   0.190836E-03  -0.155074E-06
   171   0.499189E+04   0.908263E+00   0.000000E+00  -0.411356E+02   0.715522E-07   0.189127E-03  -0.174020E-06
   172   0.501866E+04   0.897168E+00   0.000000E+00  -0.406145E+02   0.711589E-07   0.187439E-03  -0.191504E-06
   173   0.504496E+04   0.885927E+00   0.000000E+00  -0.400661E+02   0.707687E-07   0.185773E-03  -0.207128E-06
   174   0.507094E+04   0.874838E+00   0.000000E+00  -0.394904E+02   0.703818E-07   0.184129E-03  -0.220494E-06
   175   0.509652E+04   0.863605E+00   0.000000E+00  -0.388866E+02   0.699981E-07   0.182507E-03  -0.231208E-06
   176   0.512156E+04   0.852452E+00   0.000000E+00  -0.382547E+02   0.696175E-07   0.180907E-03  -0.238962E-06
   177   0.514620E+04   0.841304E+00   0.000000E+00  -0.375962E+02   0.692401E-07   0.179329E-03  -0.243821E-06
   178   0.517037E+04   0.830385E+00   0.000000E+00  -0.369096E+02   0.688658E-07   0.177772E-03  -0.245937E-06
   179   0.519408E+04   0.819399E+00   0.000000E+00  -0.361949E+02   0.684946E-07   0.176237E-03  -0.245465E-06
   180   0.521746E+04   0.808568E+00   0.000000E+00  -0.354536E+02   0.681265E-07   0.174722E-03  -0.242558E-06
   181   0.524030E+04   0.797893E+00   0.000000E+00  -0.346857E+02   0.677614E-07   0.173226E-03  -0.237371E-06
   182   0.526267E+04   0.787449E+00   0.000000E+00  -0.338897E+02   0.673992E-07   0.171750E-03  -0.230056E-06
   183   0.528450E+04   0.777162E+00   0.000000E+00  -0.330672E+02   0.670400E-07   0.170292E-03  -0.220769E-06
   184   0.530594E+04   0.767106E+00   0.000000E+00  -0.322173E+02   0.666838E-07   0.168853E-03  -0.209662E-06
   185   0.532692E+04   0.757432E+00   0.000000E+00  -0.313424E+02   0.663305E-07   0.167431E-03  -0.196890E-06
   186   0.534705E+04   0.747997E+00   0.000000E+00  -0.304394E+02   0.659800E-07   0.166026E-03  -0.182605E-06
   187   0.536702E+04   0.738944E+00   0.000000E+00  -0.295098E+02   0.656324E-07   0.164638E-03  -0.166962E-06
   188   0.538645E+04   0.730258E+00   0.000000E+00  -0.285552E+02   0.652876E-07   0.163265E-03  -0.150114E-06
   189   0.540527E+04   0.721977E+00   0.000000E+00  -0.275740E+02   0.649457E-07   0.161908E-03  -0.132215E-06
   190   0.542392E+04   0.714153E+00   0.000000E+00  -0.265685E+02   0.646064E-07   0.160566E-03  -0.113419E-06
