#    L    TT             EE             BB             TE          
   272   0.492965E+04   0.478224E+01   0.272219E-01   0.954861E+02
   273   0.490197E+04   0.491449E+01   0.273953E-01   0.967038E+02
   274   0.487400E+04   0.504913E+01   0.275682E-01   0.978838E+02
   275   0.484565E+04   0.518563E+01   0.277405E-01   0.990484E+02
   276   0.481707E+04   0.532422E+01   0.279123E-01   0.100175E+03
   277   0.478805E+04   0.546491E+01   0.280834E-01   0.101287E+03
   278   0.475880E+04   0.560760E+01   0.282540E-01   0.102361E+03
   279   0.472925E+04   0.575223E+01   0.284239E-01   0.103405E+03
   280   0.469941E+04   0.589880E+01   0.285932E-01   0.104433E+03
   281   0.466942E+04   0.604738E+01   0.287619E-01   0.105424E+03
   282   0.463897E+04   0.619767E+01   0.289299E-01   0.106384E+03
   283   0.460838E+04   0.634989E+01   0.290973E-01   0.107314E+03
   284   0.457757E+04   0.650398E+01   0.292640E-01   0.108214E+03
   285   0.454653E+04   0.665992E+01   0.294301E-01   0.109084E+03
   286   0.451520E+04   0.681758E+01   0.295955E-01   0.109916E+03
   287   0.448364E+04   0.697694E+01   0.297602E-01   0.110725E+03
   288   0.445194E+04   0.713801E+01   0.299242E-01   0.111496E+03
   289   0.442001E+04   0.730071E+01   0.300875E-01   0.112237E+03
   290   0.438793E+04   0.746490E+01   0.302501E-01   0.112948E+03
   291   0.435571E+04   0.763131E+01   0.304120E-01   0.113614E+03
   292   0.432304E+04   0.779884E+01   0.305732E-01   0.114257E+03
   293   0.429052E+04   0.796710E+01   0.307337E-01   0.114855E+03
   294   0.425770E+04   0.813759E+01   0.308935E-01   0.115430E+03
   295   0.422496E+04   0.830882E+01   0.310525E-01   0.115960E+03
   296   0.419192E+04   0.848227E+01   0.312108E-01   0.116459E+03
   297   0.415881E+04   0.865571E+01   0.313684E-01   0.116928E+03
   298   0.412548E+04   0.883138E+01   0.315252E-01   0.117353E+03
   299   0.409215E+04   0.900853E+01   0.316813E-01   0.117739E+03
   300   0.405867E+04   0.918567E+01   0.318366E-01   0.118088E+03
   301   0.402512E+04   0.936428E+01   0.319912E-01   0.118406E+03
   302   0.399157E+04   0.954364E+01   0.321450E-01   0.118695E+03
   303   0.395795E+04   0.972446E+01   0.322981E-01   0.118938E+03
   304   0.392426E+04   0.990676E+01   0.324504E-01   0.119136E+03
   305   0.389057E+04   0.100890E+02   0.326019E-01   0.119303E+03
   306   0.385681E+04   0.102721E+02   0.327527E-01   0.119434E+03
   307   0.382305E+04   0.104558E+02   0.329027E-01   0.119519E+03
   308   0.378930E+04   0.106417E+02   0.330520E-01   0.119581E+03
   309   0.375562E+04   0.108269E+02   0.332005E-01   0.119591E+03
   310   0.372187E+04   0.110121E+02   0.333482E-01   0.119570E+03
   311   0.368820E+04   0.111994E+02   0.334951E-01   0.119505E+03
   312   0.365460E+04   0.113860E+02   0.336413E-01   0.119409E+03
   313   0.362101E+04   0.115733E+02   0.337868E-01   0.119269E+03
   314   0.358750E+04   0.117614E+02   0.339314E-01   0.119098E+03
   315   0.355407E+04   0.119486E+02   0.340753E-01   0.118883E+03
   316   0.352071E+04   0.121366E+02   0.342185E-01   0.118630E+03
   317   0.348743E+04   0.123238E+02   0.343609E-01   0.118339E+03
   318   0.345423E+04   0.125124E+02   0.345025E-01   0.118011E+03
   319   0.342119E+04   0.127003E+02   0.346434E-01   0.117645E+03
   320   0.338830E+04   0.128881E+02   0.347835E-01   0.117250E+03
   321   0.335548E+04   0.130766E+02   0.349230E-01   0.116809E+03
   322   0.332282E+04   0.132636E+02   0.350617E-01   0.116331E+03
   323   0.329031E+04   0.134506E+02   0.351996E-01   0.115816E+03
   324   0.325796E+04   0.136382E+02   0.353369E-01   0.115255E+03
