#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.230140E+00   0.884429E+06   0.879502E+06   0.833405E+00  -0.417699E+00   0.000000E+00   0.883666E+06   0.883666E+06   0.883666E+06  -0.210032E-01   0.463283E+06   0.463221E+06   0.893834E-01
   0.235503E+00   0.857125E+06   0.852431E+06   0.771324E+00  -0.386581E+00   0.000000E+00   0.856399E+06   0.856399E+06   0.856399E+06  -0.203551E-01   0.448987E+06   0.448928E+06   0.833013E-01
   0.240866E+00   0.833306E+06   0.828916E+06   0.716896E+00  -0.359297E+00   0.000000E+00   0.832627E+06   0.832627E+06   0.832627E+06  -0.197900E-01   0.436523E+06   0.436468E+06   0.767878E-01
   0.246229E+00   0.811786E+06   0.807720E+06   0.668324E+00  -0.334949E+00   0.000000E+00   0.811157E+06   0.811157E+06   0.811157E+06  -0.192798E-01   0.425267E+06   0.425215E+06   0.705395E-01
   0.251592E+00   0.791291E+06   0.787513E+06   0.624001E+00  -0.312731E+00   0.000000E+00   0.790706E+06   0.790706E+06   0.790706E+06  -0.187937E-01   0.414545E+06   0.414496E+06   0.651173E-01
   0.256955E+00   0.770737E+06   0.767178E+06   0.582703E+00  -0.292031E+00   0.000000E+00   0.770187E+06   0.770187E+06   0.770187E+06  -0.183060E-01   0.403787E+06   0.403740E+06   0.608308E-01
   0.262318E+00   0.749528E+06   0.746103E+06   0.543739E+00  -0.272503E+00   0.000000E+00   0.748998E+06   0.748998E+06   0.748998E+06  -0.178023E-01   0.392679E+06   0.392633E+06   0.577107E-01
   0.267681E+00   0.727657E+06   0.724288E+06   0.506926E+00  -0.254055E+00   0.000000E+00   0.727136E+06   0.727136E+06   0.727136E+06  -0.172827E-01   0.381217E+06   0.381172E+06   0.555530E-01
   0.273044E+00   0.705540E+06   0.702176E+06   0.472387E+00  -0.236747E+00   0.000000E+00   0.705020E+06   0.705020E+06   0.705020E+06  -0.167571E-01   0.369622E+06   0.369578E+06   0.540079E-01
   0.278407E+00   0.683755E+06   0.680373E+06   0.440318E+00  -0.220678E+00   0.000000E+00   0.683232E+06   0.683232E+06   0.683232E+06  -0.162392E-01   0.358200E+06   0.358156E+06   0.526876E-01
   0.283771E+00   0.662885E+06   0.659497E+06   0.410883E+00  -0.205927E+00   0.000000E+00   0.662361E+06   0.662361E+06   0.662361E+06  -0.157431E-01   0.347258E+06   0.347214E+06   0.512659E-01
   0.289134E+00   0.643442E+06   0.640078E+06   0.384164E+00  -0.192538E+00   0.000000E+00   0.642922E+06   0.642922E+06   0.642922E+06  -0.152811E-01   0.337066E+06   0.337023E+06   0.495444E-01
   0.294497E+00   0.625727E+06   0.622431E+06   0.360102E+00  -0.180478E+00   0.000000E+00   0.625217E+06   0.625217E+06   0.625217E+06  -0.148603E-01   0.327784E+06   0.327743E+06   0.474715E-01
   0.299860E+00   0.609726E+06   0.606537E+06   0.338457E+00  -0.169630E+00   0.000000E+00   0.609233E+06   0.609233E+06   0.609233E+06  -0.144804E-01   0.319404E+06   0.319364E+06   0.451213E-01
   0.305223E+00   0.595145E+06   0.592089E+06   0.318861E+00  -0.159807E+00   0.000000E+00   0.594672E+06   0.594672E+06   0.594672E+06  -0.141343E-01   0.311770E+06   0.311731E+06   0.426495E-01
   0.310586E+00   0.581564E+06   0.578649E+06   0.300924E+00  -0.150816E+00   0.000000E+00   0.581113E+06   0.581113E+06   0.581113E+06  -0.138120E-01   0.304661E+06   0.304624E+06   0.402389E-01
   0.315949E+00   0.568561E+06   0.565778E+06   0.284299E+00  -0.142483E+00   0.000000E+00   0.568130E+06   0.568130E+06   0.568130E+06  -0.135034E-01   0.297855E+06   0.297819E+06   0.380483E-01
   0.321312E+00   0.555773E+06   0.553098E+06   0.268709E+00  -0.134670E+00   0.000000E+00   0.555359E+06   0.555359E+06   0.555359E+06  -0.131999E-01   0.291159E+06   0.291124E+06   0.361755E-01
   0.326675E+00   0.542953E+06   0.540359E+06   0.253964E+00  -0.127279E+00   0.000000E+00   0.542552E+06   0.542552E+06   0.542552E+06  -0.128955E-01   0.284445E+06   0.284411E+06   0.346437E-01
